FSA,Language,Count,Year
M1G,      Portuguese,15,1996
M1G,      Spanish,375,1996
M1G,      German,65,1996
M1G,      Polish,185,1996
M1G,      Punjabi,285,1996
M1G,      Greek,300,1996
M1G,      Vietnamese,50,1996
M1G,      Arabic,90,1996
M1G,      Cree,0,1996
M1G,      Tagalog (Pilipino),590,1996
M1G,      Ukrainian,65,1996
M1G,      Persian (Farsi),255,1996
M1G,      Korean,135,1996
M1G,      Hungarian,10,1996
M1G,      Tamil,2380,1996
M1G,      Gujarati,640,1996
M1G,      Croatian,0,1996
M1G,      Armenian,30,1996
M1G,      Inuktitut (Eskimo),0,1996
M1G,      Hindi,115,1996
M1G,      Urdu,370,1996
M1G,      Japanese,20,1996
M1G,      Russian,35,1996
M1G,      Creoles,0,1996
M1G,      Dutch,10,1996
M1G,      Khmer (Cambodian),0,1996
M1G,      Ojibway,0,1996
M1G,      Romanian,0,1996
M1G,      Czech,65,1996
M1G,      Lao,0,1996
M1G,      Macedonian,215,1996
M1G,      Finnish,0,1996
M1G,      Montagnais-Naskapi,0,1996
M1G,      Hebrew,0,1996
M1G,      Yiddish,0,1996
M1G,      Serbian,35,1996
M1G,      Bengali,50,1996
M1G,      Slovak,40,1996
M1G,      Estonian,0,1996
M1G,      Turkish,0,1996
M1G,      Lithuanian,0,1996
M1G,      Latvian (Lettish),25,1996
M1G,      Micmac,0,1996
M1G,      Slovenian,0,1996
M1G,      Bulgarian,0,1996
M1G,      Serbo-Croatian,10,1996
M1G,      Dakota/Sioux,0,1996
M1G,      South Slave,0,1996
M1G,      Malay-Bahasa,25,1996
M1G,      Maltese,0,1996
M1G,      Blackfoot,0,1996
M1G,      Dogrib,0,1996
M1G,      Danish,0,1996
M1G,      Swedish,0,1996
M1G,      Malayalam,175,1996
M1G,      Thai,0,1996
M1G,      Kurdish,0,1996
M1G,      Pashto,65,1996
M1G,      Flemish,0,1996
M1G,      Chipewyan,0,1996
M1G,      Kutchin-Gwich'in (Loucheux),0,1996
M1G,      Norwegian,0,1996
M1G,      Gaelic languages,0,1996
M1G,      Tlingit,0,1996
M1G,      Other languages,445,1996
M1H,    English,12375,1996
M1H,    French,105,1996
M1H,      Chinese,970,1996
M1H,      Italian,150,1996
M1H,      Portuguese,90,1996
M1H,      Spanish,225,1996
M1H,      German,70,1996
M1H,      Polish,70,1996
M1H,      Punjabi,130,1996
M1H,      Greek,140,1996
M1H,      Vietnamese,0,1996
M1H,      Arabic,80,1996
M1H,      Cree,0,1996
M1H,      Tagalog (Pilipino),220,1996
M1H,      Ukrainian,30,1996
M1H,      Persian (Farsi),80,1996
M1H,      Korean,60,1996
M1H,      Hungarian,15,1996
M1H,      Tamil,990,1996
M1H,      Gujarati,545,1996
M1H,      Croatian,10,1996
M1H,      Armenian,30,1996
M1H,      Inuktitut (Eskimo),0,1996
M1H,      Hindi,95,1996
M1H,      Urdu,310,1996
M1H,      Japanese,10,1996
M1H,      Russian,15,1996
M1H,      Creoles,0,1996
M1H,      Dutch,20,1996
M1H,      Khmer (Cambodian),0,1996
M1H,      Ojibway,0,1996
M1H,      Romanian,10,1996
M1H,      Czech,0,1996
M1H,      Lao,0,1996
M1H,      Macedonian,140,1996
M1H,      Finnish,0,1996
