,FSA,Mean,Std,Year,dist
0,M1B,1999.0,7768.285010219437,1991,3.8860855478836602
1,M1C,1225.8695652173913,5077.257615684893,1991,4.1417600695425625
2,M1E,1452.2413793103449,6668.37616409527,1991,4.591782233379148
3,M1G,1015.9615384615385,3940.180594072475,1991,3.87827732144177
4,M1H,607.9166666666666,2316.9038772441313,1991,3.811219537618859
5,M1J,1179.2307692307693,4439.203994027726,1991,3.7644913191363627
6,M1K,1589.0740740740741,6110.751914247214,1991,3.845479587103479
7,M1L,986.875,3753.980335507233,1991,3.8039066097603373
8,M1M,801.875,3341.4698027527247,1991,4.167070681531068
9,M1N,981.9047619047619,3912.5011718210553,1991,3.984603521253257
10,M1P,1029.8148148148148,4095.3346269196604,1991,3.9767680247017023
11,M1R,952.9629629629629,3952.579387367579,1991,4.147673667272625
12,M1S,1210.0,3970.6546059812354,1991,3.281532732215897
13,M1T,1123.3333333333333,3962.90262588197,1991,3.5278064918830596
14,M1V,1864.6,5691.655983982164,1991,3.052480952473541
15,M1W,1734.6153846153845,5567.3723126314835,1991,3.209571621472696
16,M1X,159.375,313.173648915422,1991,1.9650111304497067
17,M2H,962.1153846153846,3430.1595536664868,1991,3.5652267997333063
18,M2J,1695.0,6201.260439175471,1991,3.658560731076974
19,M2K,562.3913043478261,2145.4394855160426,1991,3.8148518103493605
20,M2L,544.0909090909091,2124.0728653203223,1991,3.9038933197198906
21,M2M,947.7777777777778,3537.1254109572515,1991,3.7320197770944032
22,M2N,1152.037037037037,4727.432013585463,1991,4.103541693194262
23,M2P,479.5833333333333,1434.734961490178,1991,2.9916280691367745
24,M2R,1308.7037037037037,4465.632051111265,1991,3.4122559892459083
25,M3A,1232.2,4805.9860757184915,1991,3.9003295534154288
26,M3B,580.6818181818181,2252.84229336195,1991,3.8796501333826146
27,M3C,997.0689655172414,3400.376631584076,1991,3.410372551130493
28,M3H,1099.2,4087.5771992709797,1991,3.718683769351328
29,M3J,765.1851851851852,2601.0248982395387,1991,3.399209692762224
30,M3K,310.5,881.9508206243702,1991,2.8404213224617396
31,M3L,735.6521739130435,2127.5840065915067,1991,2.8921059191255707
32,M3M,871.3461538461538,2851.72200261132,1991,3.2727774031293015
33,M3N,1524.2857142857142,4609.519403652951,1991,3.0240520923683842
34,M4A,469.0,1746.1758216170558,1991,3.7231893851109934
35,M4B,761.3636363636364,2975.9361330123666,1991,3.9086922344043025
36,M4C,1497.142857142857,6059.954978111198,1991,4.047679851791831
37,M4E,1345.2941176470588,5007.729458073741,1991,3.7224049316682812
38,M4G,806.6666666666666,3156.5953881428086,1991,3.9131347786894324
39,M4H,521.4285714285714,1644.8665764802229,1991,3.154538639825085
40,M4J,1294.6296296296296,4568.420978105692,1991,3.5287474298055694
41,M4K,1134.2592592592594,4224.468562610964,1991,3.7244294266284412
42,M4L,1238.75,4787.169103012065,1991,3.8645159257413235
43,M4M,1184.4117647058824,3165.0642974385864,1991,2.6722668515746695
44,M4N,716.8421052631579,2848.3167746501545,1991,3.973422813388615
45,M4P,618.4782608695652,2675.3311191987987,1991,4.325667187456757
46,M4R,563.0555555555555,2137.479134978664,1991,3.7962135599029065
47,M4S,796.3636363636364,3304.5509878658195,1991,4.149550327228769
48,M4T,701.1538461538462,2326.5847815117613,1991,3.318222946752923
49,M4V,835.5555555555555,3227.0273080520383,1991,3.8621337463388756
50,M4W,763.0769230769231,2509.359049685135,1991,3.2884745610793096
51,M4X,645.7142857142857,2187.4445765573596,1991,3.3876354061729024
52,M4Y,695.5555555555555,2960.809240397748,1991,4.256754498974398
53,M5A,981.7857142857143,3885.8638528199963,1991,3.957955179300105
54,M5B,333.75,1058.5699374628018,1991,3.171745130974687
55,M5C,191.25,282.27590669414207,1991,1.4759524533027035
56,M5E,187.08333333333334,513.8476522494019,1991,2.7466244218230838
57,M5G,202.14285714285714,513.3563030464816,1991,2.539571817191075
58,M5H,59.0,57.56735185849702,1991,0.975717828110119
59,M5J,436.8181818181818,1180.4453564944977,1991,2.7023723041497347
60,M5L,60.0,0.0,1991,0.0
61,M5M,1134.2105263157894,4408.790937958619,1991,3.887101058989038
62,M5N,747.75,3028.047421606868,1991,4.049545197735697
63,M5P,846.5,3504.172905265949,1991,4.139601778223212
64,M5R,930.2173913043479,3791.519564094973,1991,4.075949987108407
65,M5S,498.3333333333333,1662.736795404989,1991,3.336595576063523
66,M5T,851.6666666666666,2006.6542081562309,1991,2.3561497551736568
67,M5V,410.0,1168.9442968896205,1991,2.851083650950294
