FSA,Language,Count,Year
M1B,Algonquian languages,0,2016
M1B,Blackfoot,0,2016
M1B,Cree-Montagnais languages,0,2016
M1B,Atikamekw,0,2016
M1B,Montagnais (Innu),0,2016
M1B,Moose Cree,0,2016
M1B,Naskapi,0,2016
M1B,Northern East Cree,0,2016
M1B,Plains Cree,0,2016
M1B,Southern East Cree,0,2016
M1B,Swampy Cree,0,2016
M1B,Woods Cree,0,2016
M1B,Cree; n.o.s.,0,2016
M1B,Eastern Algonquian languages,0,2016
M1B,Malecite,0,2016
M1B,Mi'kmaq,0,2016
M1B,Ojibway-Potawatomi languages,0,2016
M1B,Algonquin,0,2016
M1B,Ojibway,0,2016
M1B,Oji-Cree,0,2016
M1B,Ottawa (Odawa),0,2016
M1B,Algonquian languages; n.i.e.,0,2016
M1B,Athabaskan languages,0,2016
M1B,Northern Athabaskan languages,0,2016
M1B,Babine (Wetsuwet'en),0,2016
M1B,Beaver,0,2016
M1B,Carrier,0,2016
M1B,Chilcotin,0,2016
M1B,Dene,0,2016
M1B,Dogrib (Tlicho),0,2016
M1B,Gwich'in,0,2016
M1B,Sarsi (Sarcee),0,2016
M1B,Sekani,0,2016
M1B,Slavey-Hare languages,0,2016
M1B,Slavey-Hare languages,0,2016
M1B,Slavey-Hare languages,0,2016
M1B,Slavey-Hare languages,0,2016
M1B,Tahltan languages,0,2016
M1B,Tahltan languages,0,2016
M1B,Tahltan languages,0,2016
M1B,Tutchone languages,0,2016
M1B,Tutchone languages,0,2016
M1B,Tutchone languages,0,2016
M1B,Athabaskan languages; n.i.e.,0,2016
M1B,Haida,0,2016
M1B,Inuit languages,0,2016
M1B,Inuinnaqtun (Inuvialuktun),0,2016
M1B,Inuktitut,0,2016
M1B,Inuit languages; n.i.e.,0,2016
M1B,Iroquoian languages,0,2016
M1B,Cayuga,0,2016
M1B,Mohawk,0,2016
M1B,Oneida,0,2016
M1B,Iroquoian languages; n.i.e.,0,2016
M1B,Kutenai,0,2016
M1B,Michif,0,2016
M1B,Salish languages,0,2016
M1B,Comox,0,2016
M1B,Halkomelem,0,2016
M1B,Lillooet,0,2016
M1B,Okanagan,0,2016
M1B,Shuswap (Secwepemctsin),0,2016
M1B,Squamish,0,2016
M1B,Straits,0,2016
M1B,Thompson (Ntlakapamux),0,2016
M1B,Salish languages; n.i.e.,0,2016
M1B,Siouan languages,0,2016
M1B,Dakota,0,2016
M1B,Stoney,0,2016
M1B,Siouan languages; n.i.e.,0,2016
M1B,Tlingit,0,2016
M1B,Tsimshian languages,0,2016
M1B,Gitxsan (Gitksan),0,2016
M1B,Nisga'a,0,2016
M1B,Tsimshian,0,2016
M1B,Wakashan languages,0,2016
M1B,Haisla,0,2016
