FSA,Language,Count,Year
M1B,English,36425,2001
M1B,French,90,2001
M1B,Cantonese,1625,2001
M1B,Mandarin,70,2001
M1B,Hakka,0,2001
M1B,"Chinese, n.o.s.",935,2001
M1B,Italian,140,2001
M1B,Portuguese,45,2001
M1B,Spanish,100,2001
M1B,German,0,2001
M1B,Polish,60,2001
M1B,Punjabi,1095,2001
M1B,Greek,10,2001
M1B,Vietnamese,75,2001
M1B,Arabic,115,2001
M1B,Cree,0,2001
M1B,Tagalog (Pilipino),710,2001
M1B,Ukrainian,0,2001
M1B,Persian (Farsi),425,2001
M1B,Korean,80,2001
M1B,Hungarian,10,2001
M1B,Tamil,2635,2001
M1B,Gujarati,595,2001
M1B,Croatian,15,2001
M1B,Armenian,45,2001
M1B,Inuktitut (Eskimo),0,2001
M1B,Hindi,180,2001
M1B,Urdu,835,2001
M1B,Japanese,15,2001
M1B,Russian,20,2001
M1B,Creoles,0,2001
M1B,Dutch,0,2001
M1B,Khmer (Cambodian),0,2001
M1B,Ojibway,0,2001
M1B,Romanian,0,2001
M1B,Czech,0,2001
M1B,Lao,0,2001
M1B,Macedonian,65,2001
M1B,Finnish,0,2001
M1B,Montagnais-Naskapi,0,2001
M1B,Hebrew,0,2001
M1B,Yiddish,0,2001
M1B,Serbian,20,2001
M1B,Bengali,35,2001
M1B,Slovak,0,2001
M1B,Estonian,0,2001
M1B,Turkish,10,2001
M1B,Lithuanian,0,2001
M1B,Latvian (Lettish),0,2001
M1B,Micmac,0,2001
M1B,Slovenian,0,2001
M1B,Bulgarian,0,2001
M1B,Serbo-Croatian,0,2001
M1B,Dakota/Sioux,0,2001
M1B,South Slave,0,2001
M1B,Malay-Bahasa,0,2001
M1B,Maltese,0,2001
M1B,Blackfoot,0,2001
M1B,Dogrib,0,2001
M1B,Danish,0,2001
M1B,Swedish,0,2001
M1B,Malayalam,85,2001
M1B,Thai,0,2001
M1B,Kurdish,0,2001
M1B,Pashto,0,2001
M1B,Flemish,0,2001
M1B,Chipewyan,0,2001
M1B,Kutchin-Gwich'in (Loucheux),0,2001
M1B,Norwegian,0,2001
M1B,Gaelic languages,0,2001
M1B,Tlingit,0,2001
M1B,Other languages,300,2001
M1C,English,26090,2001
M1C,French,20,2001
M1C,Cantonese,275,2001
M1C,Mandarin,25,2001
M1C,Hakka,0,2001
M1C,"Chinese, n.o.s.",260,2001
M1C,Italian,135,2001
M1C,Portuguese,0,2001
M1C,Spanish,35,2001
M1C,German,0,2001
M1C,Polish,75,2001
M1C,Punjabi,70,2001
M1C,Greek,50,2001
M1C,Vietnamese,10,2001
M1C,Arabic,0,2001
M1C,Cree,0,2001
M1C,Tagalog (Pilipino),105,2001
M1C,Ukrainian,0,2001
M1C,Persian (Farsi),35,2001
M1C,Korean,15,2001
M1C,Hungarian,25,2001
M1C,Tamil,160,2001
M1C,Gujarati,40,2001
M1C,Croatian,0,2001
M1C,Armenian,10,2001
M1C,Inuktitut (Eskimo),0,2001
M1C,Hindi,35,2001
M1C,Urdu,135,2001
M1C,Japanese,25,2001
M1C,Russian,0,2001
M1C,Creoles,15,2001
M1C,Dutch,15,2001
M1C,Khmer (Cambodian),0,2001
M1C,Ojibway,0,2001
M1C,Romanian,30,2001
M1C,Czech,15,2001
M1C,Lao,0,2001
M1C,Macedonian,75,2001
M1C,Finnish,10,2001
M1C,Montagnais-Naskapi,0,2001
M1C,Hebrew,0,2001
M1C,Yiddish,0,2001
M1C,Serbian,0,2001
M1C,Bengali,80,2001
M1C,Slovak,0,2001
M1C,Estonian,15,2001
M1C,Turkish,0,2001
M1C,Lithuanian,0,2001
M1C,Latvian (Lettish),0,2001
M1C,Micmac,0,2001
M1C,Slovenian,0,2001
M1C,Bulgarian,0,2001
M1C,Serbo-Croatian,0,2001
M1C,Dakota/Sioux,0,2001
M1C,South Slave,0,2001
M1C,Malay-Bahasa,0,2001
M1C,Maltese,0,2001
M1C,Blackfoot,0,2001
M1C,Dogrib,0,2001
M1C,Danish,0,2001
M1C,Swedish,0,2001
M1C,Malayalam,0,2001
M1C,Thai,0,2001
M1C,Kurdish,0,2001
M1C,Pashto,0,2001
M1C,Flemish,0,2001
M1C,Chipewyan,0,2001
M1C,Kutchin-Gwich'in (Loucheux),0,2001
M1C,Norwegian,0,2001
M1C,Gaelic languages,0,2001
M1C,Tlingit,0,2001
M1C,Other languages,175,2001
M1G,English,16305,2001
M1G,French,90,2001
M1G,Cantonese,140,2001
M1G,Mandarin,110,2001
M1G,Hakka,0,2001
M1G,"Chinese, n.o.s.",285,2001
M1G,Italian,55,2001
M1G,Portuguese,30,2001
M1G,Spanish,70,2001
M1G,German,15,2001
M1G,Polish,145,2001
M1G,Punjabi,230,2001
M1G,Greek,125,2001
M1G,Vietnamese,10,2001
M1G,Arabic,110,2001
M1G,Cree,0,2001
M1G,Tagalog (Pilipino),260,2001
M1G,Ukrainian,0,2001
M1G,Persian (Farsi),215,2001
M1G,Korean,35,2001
M1G,Hungarian,0,2001
M1G,Tamil,1775,2001
M1G,Gujarati,855,2001
M1G,Croatian,0,2001
M1G,Armenian,15,2001
M1G,Inuktitut (Eskimo),0,2001
M1G,Hindi,195,2001
M1G,Urdu,350,2001
M1G,Japanese,10,2001
M1G,Russian,25,2001
M1G,Creoles,0,2001
M1G,Dutch,0,2001
M1G,Khmer (Cambodian),0,2001
M1G,Ojibway,0,2001
M1G,Romanian,0,2001
M1G,Czech,50,2001
M1G,Lao,0,2001
M1G,Macedonian,70,2001
M1G,Finnish,10,2001
M1G,Montagnais-Naskapi,0,2001
M1G,Hebrew,0,2001
M1G,Yiddish,0,2001
M1G,Serbian,25,2001
M1G,Bengali,195,2001
M1G,Slovak,60,2001
M1G,Estonian,0,2001
M1G,Turkish,0,2001
M1G,Lithuanian,0,2001
M1G,Latvian (Lettish),0,2001
M1G,Micmac,0,2001
M1G,Slovenian,0,2001
M1G,Bulgarian,0,2001
M1G,Serbo-Croatian,0,2001
M1G,Dakota/Sioux,0,2001
M1G,South Slave,0,2001
M1G,Malay-Bahasa,20,2001
M1G,Maltese,0,2001
M1G,Blackfoot,0,2001
M1G,Dogrib,0,2001
M1G,Danish,0,2001
M1G,Swedish,0,2001
M1G,Malayalam,25,2001
M1G,Thai,0,2001
M1G,Kurdish,0,2001
M1G,Pashto,70,2001
M1G,Flemish,0,2001
M1G,Chipewyan,0,2001
M1G,Kutchin-Gwich'in (Loucheux),0,2001
M1G,Norwegian,0,2001
M1G,Gaelic languages,0,2001
M1G,Tlingit,0,2001
M1G,Other languages,300,2001
M1H,English,10440,2001
M1H,French,60,2001
M1H,Cantonese,1035,2001
M1H,Mandarin,180,2001
M1H,Hakka,0,2001
M1H,"Chinese, n.o.s.",665,2001
M1H,Italian,70,2001
M1H,Portuguese,0,2001
M1H,Spanish,65,2001
