,FSA,Mean,Std,Year,dist
78,M6M,369.2,590.7904535450787,1991,1.600190827586887
79,M6N,528.0,811.6452427015142,1991,1.5372068990558982
80,M6P,365.1923076923077,496.53119967281077,1991,1.3596430954705718
81,M6R,217.08333333333334,435.35166978993993,1991,2.0054587475928134
82,M6S,280.45454545454544,412.3158241481585,1991,1.470169875406724
83,M8V,217.85714285714286,408.72208344619526,1991,1.8761013666382733
84,M8W,177.61904761904762,228.40346010857445,1991,1.2859176038284352
85,M8X,47.69230769230769,45.47253543942696,1991,0.9534563882460492
86,M8Y,237.05882352941177,369.35977528504094,1991,1.5580933448748624
87,M8Z,176.47058823529412,268.546001678113,1991,1.5217606761759737
88,M9A,176.25,213.18639145123686,1991,1.209568178446734
89,M9B,211.5909090909091,247.9662108746617,1991,1.1719133489242872
90,M9C,211.4,268.46049988778606,1991,1.269917218012233
91,M9L,306.0,821.2027764200508,1991,2.683669203987094
92,M9M,357.10526315789474,579.4764329013636,1991,1.6227048231578347
93,M9N,170.0,259.4866727470475,1991,1.5263921926296913
94,M9P,253.88888888888889,325.85168556822646,1991,1.2834420875772596
95,M9R,327.5,535.580651830688,1991,1.6353607689486656
96,M9V,525.1851851851852,743.2828601218324,1991,1.415277660316606
97,M9W,255.8,308.8678681896191,1991,1.2074584370196213
0,M1B,487.3333333333333,963.3584771805122,1996,1.9767957808081646
1,M1C,118.75,224.0779719204902,1996,1.8869723951199175
2,M1E,189.87179487179486,282.5626483279624,1996,1.4881760006469322
3,M1G,227.35294117647058,411.2163365340997,1996,1.8087135112754709
4,M1H,152.90322580645162,243.1804526894366,1996,1.5904206821461044
5,M1J,239.625,455.3026294400242,1996,1.900063137986538
6,M1K,380.81081081081084,726.2431220435474,1996,1.9070969138120122
7,M1L,207.5,316.2302365366095,1996,1.5240011399354674
8,M1M,88.87096774193549,91.15486359557558,1996,1.0256990096053875
9,M1N,65.0,115.6615156691998,1996,1.7794079333723047
10,M1P,241.7948717948718,403.47923909906183,1996,1.668684021724646
11,M1R,165.52631578947367,227.25706946818772,1996,1.3729361907458082
12,M1S,425.78125,1715.575299541946,1996,4.029241070483836
13,M1T,281.6666666666667,845.2399396358142,1996,3.000851856695198
14,M1V,902.6470588235294,4034.041404336739,1996,4.469123745436596
15,M1W,652.2727272727273,2376.532708274519,1996,3.6434647792361963
16,M1X,47.27272727272727,56.180052929019546,1996,1.1884241965754134
17,M2H,297.20588235294116,1031.6428867819282,1996,3.4711388570594317
18,M2J,480.4761904761905,1048.306349219568,1996,2.181807069733491
19,M2K,133.14814814814815,377.49453797409353,1996,2.8351467386093256
20,M2L,88.4,243.06262567494832,1996,2.7495772135175147
21,M2M,227.30769230769232,610.4399907022153,1996,2.6855228017356336
22,M2N,249.7560975609756,790.9256318679694,1996,3.166792080721362
23,M2P,47.5,94.70348462437906,1996,1.9937575710395592
24,M2R,363.42105263157896,937.4511252264651,1996,2.579517940521772
25,M3A,228.68421052631578,290.3688312676571,1996,1.2697371217688111
26,M3B,85.89285714285714,231.003453790772,1996,2.689437299850984
27,M3C,322.10526315789474,440.6478955663308,1996,1.3680245123791317
28,M3H,200.28571428571428,273.07754748198454,1996,1.3634399660298802
29,M3J,243.28571428571428,427.829977673279,1996,1.7585495265490036
30,M3K,115.47619047619048,275.56826464730227,1996,2.386364353646741
31,M3L,272.2,699.0623434286815,1996,2.5681937671883968
32,M3M,245.0,536.0847340722016,1996,2.188100955396741
33,M3N,545.6410256410256,878.8973128426468,1996,1.610761052672144
34,M4A,113.83333333333333,138.92853878483314,1996,1.2204556847862356
35,M4B,107.74193548387096,148.11089301098676,1996,1.3746819411199371
36,M4C,308.8157894736842,666.037412228123,1996,2.156746626729329
37,M4E,54.166666666666664,80.51483645197878,1996,1.4864277498826852
38,M4G,36.25,24.206145913796355,1996,0.6677557493461064
39,M4H,152.09677419354838,217.84418148977267,1996,1.4322735156273494
40,M4J,267.43243243243245,723.2029187239497,1996,2.7042453757237124
41,M4K,242.03125,525.1470915595339,1996,2.1697491194196368
42,M4L,212.16666666666666,724.5420200988272,1996,3.4149663162552732
43,M4M,374.375,1404.8274749502161,1996,3.752460701035636
44,M4N,32.27272727272727,27.70490901394687,1996,0.8584619694462411
45,M4P,49.516129032258064,47.26989833119397,1996,0.9546363832358392
46,M4R,25.90909090909091,26.570504992137238,1996,1.0255282628544196
47,M4S,82.16666666666667,83.3034946579207,1996,1.0138356347819961
48,M4T,24.210526315789473,19.348817310159788,1996,0.7991902802022521
49,M4V,41.52173913043478,33.76500576583292,1996,0.8131886205383845
50,M4W,25.25,17.711225254058512,1996,0.7014346635270697
51,M4X,250.75757575757575,511.2434651165979,1996,2.0387956917036534
52,M4Y,102.20588235294117,191.94128688861275,1996,1.8779866918598083
53,M5A,217.69230769230768,503.02144287506326,1996,2.310699207553294
54,M5B,62.5,130.20930952015024,1996,2.083348952322404
55,M5C,22.0,16.911534525287763,1996,0.7687061147858074
