FSA,Language,Count,Year
M1C,Ilocano,0,2006
M1C,Malay,0,2006
M1C,"Tagalog (Pilipino, Filipino)",525,2006
M1C,Akan (Twi),25,2006
M1C,Swahili,10,2006
M1C,Creoles,0,2006
M1C,Other languages,90,2006
M1G,Algonquin,0,2006
M1G,Atikamekw,0,2006
M1G,Blackfoot,0,2006
M1G,Carrier,0,2006
M1G,Chilcotin,0,2006
M1G,Chipewyan,0,2006
M1G,Cree,0,2006
M1G,Siouan languages (Dakota/Sioux),0,2006
M1G,Dene,0,2006
M1G,Dogrib,0,2006
M1G,Gitksan,0,2006
M1G,Inuinnaqtun,0,2006
M1G,"Inuktitut, n.i.e.",0,2006
M1G,Kutchin-Gwich'in (Loucheux),0,2006
M1G,Malecite,0,2006
M1G,Mi'kmaq,0,2006
M1G,Mohawk,0,2006
M1G,Montagnais-Naskapi,0,2006
M1G,Nisga'a,0,2006
M1G,North Slave (Hare),0,2006
M1G,Ojibway,0,2006
M1G,Oji-Cree,0,2006
M1G,Shuswap,0,2006
M1G,South Slave,0,2006
M1G,Tlingit,0,2006
M1G,Italian,165,2006
M1G,Portuguese,25,2006
M1G,Romanian,35,2006
M1G,Spanish,225,2006
M1G,Danish,0,2006
M1G,Dutch,0,2006
M1G,Flemish,0,2006
M1G,Frisian,0,2006
M1G,German,60,2006
M1G,Norwegian,0,2006
M1G,Swedish,0,2006
M1G,Yiddish,0,2006
M1G,Bosnian,0,2006
M1G,Bulgarian,0,2006
M1G,Croatian,0,2006
M1G,Czech,70,2006
M1G,Macedonian,30,2006
M1G,Polish,100,2006
M1G,Russian,0,2006
M1G,Serbian,10,2006
M1G,Serbo-Croatian,10,2006
M1G,Slovak,15,2006
M1G,Slovenian,0,2006
M1G,Ukrainian,0,2006
M1G,Latvian,0,2006
M1G,Lithuanian,0,2006
M1G,Estonian,15,2006
M1G,Finnish,0,2006
M1G,Hungarian,40,2006
M1G,Greek,170,2006
M1G,Armenian,0,2006
M1G,Turkish,10,2006
M1G,Amharic,25,2006
M1G,Arabic,100,2006
M1G,Hebrew,0,2006
M1G,Maltese,0,2006
M1G,Somali,45,2006
M1G,Tigrigna,10,2006
M1G,Bengali,410,2006
M1G,Gujarati,2350,2006
M1G,Hindi,290,2006
M1G,Kurdish,0,2006
M1G,Panjabi (Punjabi),170,2006
M1G,Pashto,70,2006
M1G,Persian (Farsi),420,2006
M1G,Sindhi,0,2006
M1G,Sinhala (Sinhalese),65,2006
M1G,Urdu,775,2006
M1G,Malayalam,130,2006
M1G,Tamil,2815,2006
M1G,Telugu,0,2006
M1G,Japanese,10,2006
M1G,Korean,25,2006
M1G,Cantonese,105,2006
M1G,"Chinese, n.o.s.",285,2006
M1G,Mandarin,260,2006
M1G,Taiwanese,30,2006
M1G,Lao,0,2006
M1G,Khmer (Cambodian),0,2006
M1G,Vietnamese,60,2006
M1G,Bisayan languages,110,2006
M1G,Ilocano,15,2006
M1G,Malay,10,2006
M1G,"Tagalog (Pilipino, Filipino)",635,2006
M1G,Akan (Twi),30,2006
M1G,Swahili,15,2006
M1G,Creoles,65,2006
M1G,Other languages,125,2006
M1H,Algonquin,0,2006
M1H,Atikamekw,0,2006
M1H,Blackfoot,0,2006
M1H,Carrier,0,2006
M1H,Chilcotin,0,2006
M1H,Chipewyan,0,2006
M1H,Cree,0,2006
M1H,Siouan languages (Dakota/Sioux),0,2006
M1H,Dene,0,2006
M1H,Dogrib,0,2006
M1H,Gitksan,0,2006
M1H,Inuinnaqtun,0,2006
M1H,"Inuktitut, n.i.e.",0,2006
M1H,Kutchin-Gwich'in (Loucheux),0,2006
M1H,Malecite,0,2006
M1H,Mi'kmaq,0,2006
M1H,Mohawk,0,2006
M1H,Montagnais-Naskapi,0,2006
M1H,Nisga'a,0,2006
M1H,North Slave (Hare),0,2006
M1H,Ojibway,0,2006
M1H,Oji-Cree,0,2006
M1H,Shuswap,0,2006
M1H,South Slave,0,2006
M1H,Tlingit,0,2006
